row_id,tweet_id,date,post_type,language,like_count,retweet_count,reply_count,text,raw_content,hashtags,retweeted_tweet,quoted_tweet,url,user,dataset_split,sampling_strategy,sampled_at
11,1801002686562611591,2024-06-12,reply,en,0,0,0,"@akafacehots If he's the most honorable,  I shudder to think of the people that pervert biden associates with. I think jill might also be perverted.","@akafacehots If he's the most honorable,  I shudder to think of the people that pervert biden associates with. I think jill might also be perverted.",[],False,False,https://twitter.com/angelaj987/status/1801002686562611591,"""{'id': 557789129, 'id_str': '557789129', 'url': 'https://twitter.com/Angela J', 'username': 'Angela J', 'rawDescription': 'Trump 2024. if you\u2019re here to argue, not interested. no DMs\u2026there are only 2 genders he/she.  all porn is automatically blocked.', 'created': datetime.datetime(2012, 4, 19, 15, 8, 24, tzinfo=datetime.timezone.utc), 'followersCount': 2066, 'friendsCount': 1423, 'statusesCount': 98888, 'favouritesCount': 107860, 'listedCount': 16, 'mediaCount': 853, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1745966607224983552/rLV04dJV_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
12,1801006195500515458,2024-06-12,reply,en,3,0,1,28. donald trump is gonna be looked at in ~60 years as one of the worst presidents in US history,28. donald trump is gonna be looked at in ~60 years as one of the worst presidents in US history,[],False,False,https://twitter.com/ZFlawles1s/status/1801006195500515458,"""{'id': 1427755458127745030, 'id_str': '1427755458127745030', 'url': 'https://twitter.com/ZFlawless \ud83c\uddfa\ud83c\udde6\ud83c\uddf5\ud83c\uddf8\ud83c\udf09', 'username': 'ZFlawless \ud83c\uddfa\ud83c\udde6\ud83c\uddf5\ud83c\uddf8\ud83c\udf09', 'rawDescription': 'Socialist Progressive Dem | National political observer from NorCal | Lots of redistricting maps | \""Normal\"" person | From CA-7 | Alt: @flawlessnewpriv', 'created': datetime.datetime(2021, 8, 17, 22, 13, 42, tzinfo=datetime.timezone.utc), 'followersCount': 3372, 'friendsCount': 2423, 'statusesCount': 76602, 'favouritesCount': 176840, 'listedCount': 44, 'mediaCount': 3202, 'location': 'Sacramento, CA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1821315692349497344/GyYJyVck_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
13,1801035944713134418,2024-06-12,reply,en,0,0,0,@cnnbrk Remember how Joe Biden invented the cages used to torture children when he was VP? You should.,@cnnbrk Remember how Joe Biden invented the cages used to torture children when he was VP? You should.,[],False,False,https://twitter.com/kodymcbanks/status/1801035944713134418,"""{'id': 155741379, 'id_str': '155741379', 'url': 'https://twitter.com/Kody McBanks', 'username': 'Kody McBanks', 'rawDescription': 'Bears, Bourbon, and Barbecue.\\nAerospace Engineer.', 'created': datetime.datetime(2010, 6, 14, 23, 59, 12, tzinfo=datetime.timezone.utc), 'followersCount': 451, 'friendsCount': 283, 'statusesCount': 27153, 'favouritesCount': 204667, 'listedCount': 3, 'mediaCount': 427, 'location': 'Illinois, USA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1595475931711283200/8df6s5iS_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
14,1801040391984001119,2024-06-12,reply,en,1,0,0,"@Yeditwit @BossyMother @Travis_4_Trump Better orange than a pedophile that showers with his own daughter. Why did Biden cancel DNA testing at the border,where's 85,000 missing immigrant children?","@Yeditwit @BossyMother @Travis_4_Trump Better orange than a pedophile that showers with his own daughter. Why did Biden cancel DNA testing at the border,where's 85,000 missing immigrant children?",[],False,False,https://twitter.com/Texas__Nana/status/1801040391984001119,"""{'id': 1044632787175780352, 'id_str': '1044632787175780352', 'url': 'https://twitter.com/Texas_Nana', 'username': 'Texas_Nana', 'rawDescription': 'Just your typical Texas christian,gun toting,Trump supporting, cookie making mom and Nana', 'created': datetime.datetime(2018, 9, 25, 17, 0, 39, tzinfo=datetime.timezone.utc), 'followersCount': 549, 'friendsCount': 642, 'statusesCount': 18591, 'favouritesCount': 20193, 'listedCount': 0, 'mediaCount': 2321, 'location': 'Texas', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1749863123362693120/fMBisswi_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
15,1801024548495896773,2024-06-12,reply,en,0,0,0,@RepMTG Interesting how your constituency never backs you on X or MAGA for that fact.,@RepMTG Interesting how your constituency never backs you on X or MAGA for that fact.,[],False,False,https://twitter.com/WithoutaTRACE/status/1801024548495896773,"""{'id': 23910844, 'id_str': '23910844', 'url': 'https://twitter.com/Trace', 'username': 'Trace', 'rawDescription': '#NativeTwitter #LGB\ud83c\udf08 #RacistSuck Art Collector \ud83d\udc08 #CatRescue #Khive #TwoSpirit #Hillary #Harris #Biden Tilt your head, not the taco \ud83c\udf2e Sheesh.', 'created': datetime.datetime(2009, 3, 12, 6, 12, 33, tzinfo=datetime.timezone.utc), 'followersCount': 4333, 'friendsCount': 5028, 'statusesCount': 172554, 'favouritesCount': 141498, 'listedCount': 79, 'mediaCount': 3030, 'location': 'Arizona, USA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1543644086590001152/wle3BywK_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
16,1801014680133013826,2024-06-12,reply,en,0,0,0,"@SpeakerJohnson Hunter guilty on 3 and accepts the verdict. Trump is guilty on 34. You’re all Trump’s patsies. Biden swears by the Constitution, while you defend an infidel’s self-centered revenge and destruction, to bypass all accountability. We all know how this ends. #MAGAisToast #Democracy","@SpeakerJohnson Hunter guilty on 3 and accepts the verdict. Trump is guilty on 34. You’re all Trump’s patsies. Biden swears by the Constitution, while you defend an infidel’s self-centered revenge and destruction, to bypass all accountability. We all know how this ends. #MAGAisToast #Democracy",[],False,False,https://twitter.com/andrew_barnum/status/1801014680133013826,"""{'id': 558259110, 'id_str': '558259110', 'url': 'https://twitter.com/A.T.Barnum Rubble', 'username': 'A.T.Barnum Rubble', 'rawDescription': 'South Coast NSW Designer, Educator, Singer-Songwriter, Vitabeat.', 'created': datetime.datetime(2012, 4, 20, 0, 21, 4, tzinfo=datetime.timezone.utc), 'followersCount': 883, 'friendsCount': 949, 'statusesCount': 10367, 'favouritesCount': 26163, 'listedCount': 10, 'mediaCount': 872, 'location': 'South Coast NSW Australia', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1705824214228578304/Us5Ogf3Z_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
17,1801027703912399150,2024-06-12,reply,en,0,0,0,"When will the #Media show us the speeches made by the minority leader
addressing this #MAGAMORON  @GOP vote against Garland? #MSNBC.","When will the #Media show us the speeches made by the minority leader
addressing this #MAGAMORON  @GOP vote against Garland? #MSNBC.",[],False,False,https://twitter.com/eboikwe/status/1801027703912399150,"""{'id': 736910659732963328, 'id_str': '736910659732963328', 'url': 'https://twitter.com/Ben', 'username': 'Ben', 'rawDescription': '', 'created': datetime.datetime(2016, 5, 29, 13, 22, 47, tzinfo=datetime.timezone.utc), 'followersCount': 50, 'friendsCount': 157, 'statusesCount': 6715, 'favouritesCount': 2086, 'listedCount': 2, 'mediaCount': 26, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1012483920086982656/QF5H7C6V_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
18,1801009849846882562,2024-06-12,reply,en,0,0,0,@MayoIsSpicyy Donald Trump was never convicted of rape! Just another lie being floated out there!,@MayoIsSpicyy Donald Trump was never convicted of rape! Just another lie being floated out there!,[],False,False,https://twitter.com/VinceM_USA/status/1801009849846882562,"""{'id': 1586404613108166656, 'id_str': '1586404613108166656', 'url': 'https://twitter.com/Vince', 'username': 'Vince', 'rawDescription': 'Father, Husband, Grandfather, American Patriot, and independent thinker.', 'created': datetime.datetime(2022, 10, 29, 17, 9, 33, tzinfo=datetime.timezone.utc), 'followersCount': 276, 'friendsCount': 247, 'statusesCount': 3923, 'favouritesCount': 317, 'listedCount': 2, 'mediaCount': 2, 'location': 'Idaho, USA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1801658548658835457/zm-tIAkA_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
19,1801030164203151462,2024-06-12,reply,en,1,0,0,"Bibi was uncomfortable even offering negotiations for a permanent peace, hence all the hawkish messaging coming out of his office after Biden leaked the details. This whole thing is just Hamas torpedoing it.

Hopefully this is just a negotiating tactic.","Bibi was uncomfortable even offering negotiations for a permanent peace, hence all the hawkish messaging coming out of his office after Biden leaked the details. This whole thing is just Hamas torpedoing it.

Hopefully this is just a negotiating tactic.",[],False,False,https://twitter.com/nuckles87/status/1801030164203151462,"""{'id': 104944611, 'id_str': '104944611', 'url': 'https://twitter.com/nuckles87', 'username': 'nuckles87', 'rawDescription': 'I started using Twitter to help trend Toonami shows. Might want to mute me on Saturdays. Currently write for Sonic Stadium, working on a comic. He/him', 'created': datetime.datetime(2010, 1, 14, 21, 53, 3, tzinfo=datetime.timezone.utc), 'followersCount': 465, 'friendsCount': 433, 'statusesCount': 127322, 'favouritesCount': 82059, 'listedCount': 11, 'mediaCount': 1597, 'location': 'Delray Beach, FL', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/624950607200174080/MYpjIIe1_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
20,1801030602814066843,2024-06-12,reply,en,0,0,0,Biden has achieved the rigor mortis stage.,Biden has achieved the rigor mortis stage.,[],False,True,https://twitter.com/McleanEsq/status/1801030602814066843,"""{'id': 1577923661864251392, 'id_str': '1577923661864251392', 'url': 'https://twitter.com/Byron L. McLean, Esq.', 'username': 'Byron L. McLean, Esq.', 'rawDescription': 'I sue; therefore, I am.', 'created': datetime.datetime(2022, 10, 6, 7, 29, 29, tzinfo=datetime.timezone.utc), 'followersCount': 496, 'friendsCount': 192, 'statusesCount': 25266, 'favouritesCount': 10790, 'listedCount': 4, 'mediaCount': 668, 'location': 'Spokane, WA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1819140557505286145/1aih0O7-_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
