row_id,tweet_id,text,like_count,date
66,1801023002059882685,"This is what MAGA wants and would rather have Putin, then Biden in Office! Please help me understand! 
Twins https://t.co/1nfWrGIig3 via @YouTube",0,2024-06-12
67,1801027630390522046,@LiberalHam7060 @bigjohnny292 @PCJ3dogs @vlb55jr @lavern_spicer Exactly he did more for Black people than Donald Trump. No let’s not forget that this was the same ex-president that put an added in the New York Times for the execution of five innocent Black men crime didn’t commit that was 35 years ago,0,2024-06-12
68,1801020935215911269,@bama_angel4life Beautiful as always 😘🤗,1,2024-06-12
69,1801003003001884996,"@RepMaxMiller @JudiciaryGOP Well, Thanks to Gym Jordan who is well over 700 days in violation of his subpoena, your subpoena means nothing.

Also in what way does this help us? You know, your constituents? 

Does this address the price of Gas? Food?

Address the attempted Coup that your party attempted?",4,2024-06-12
70,1801349176485363871,"@ChrisDJackson Biden was asleep for most of the visit, numb nuts 🙄",0,2024-06-13
71,1801030991798030411,MAGA Mike is a pathetic liar.,0,2024-06-12
72,1801024425690619946,"You didn't actually think #biden would close the border did you? The only thing Biden does consistently is lie, over and over, every day.",2,2024-06-12
73,1801348043679347179,@carynannharlos Trump and Biden are driving you to hell but Trump is taking the scenic route while Biden's drool is pooling on his collar while his foot is fully pressing the accelerator.,0,2024-06-13
74,1801016857882730971,"Imagine if we had @Cobratate power 

Ohhhh man",0,2024-06-12
75,1801001715757470152,"@pennington_jr @MikeSington It is in fact not bullshit. Take 10 seconds to google ""S&amp;P and Nasdaq  close at record highs.""  For you MAGA's, get your grandson to do it.",0,2024-06-12
76,1801348691040866739,"@Goofsonn @so_longlondon @fatfabfeminist @tattooedhoax Care to point out some things that show how ""disasterous"" Biden has been? Or are you just repeating what others have said.
Biden has managed to create a strong economy while most other countries are still struggling to cope with the fallout from covid lockdowns.",0,2024-06-13
77,1801012015042908472,@ClownWorld_ She did it on purpose because she is going to make more doing these videos and MAGA will watch them and MAGA haters will watch and share them too. And you're helping her do it. Stop sharing and forget about her.,0,2024-06-12
78,1801039302844948523,"@nicksortor @nicksortor what about the Biden family using the FBI to retrieve the diary?  It is only one of the 3 letter agencies covering for the Biden crime family; IRS, FBI, CIA, DOJ.",0,2024-06-12
79,1801025174822584515,"@SpeakerRyan @TeamCavuto 
No one cares what Paul RINO Ryan or coward Cavuto thinks about #MAGA or #Trump2024 go pound sand!",0,2024-06-12
80,1801034176121954584,Charles Payne Bursts Biden Campaign's Gaslighting Bubble About,0,2024-06-12
81,1801027777975496948,@JenniferSey That decision might just leave a mark as Biden's Title IX rewrite goes to court.,0,2024-06-12
82,1801029097096729037,@Kmello35365 @TomiLahren @ScottPresler Everything you’ve been told about MAGA is a flat out lie !  It’s the democrats who deal in hatred https://t.co/A2NgTobfWw,11,2024-06-12
83,1801013557053853870,@15_conservative @RpsAgainstTrump Hovde described what he claimed were voting irregularities involving Wisconsin nursing home residents in the 2020 presidential election. Here is a fact brief from @WisconsinWatch with more information on the context of the statement. Hope it helps! https://t.co/7yJ31bQzoC,0,2024-06-12
84,1801013705125319013,"@simonateba @SarahHuckabee The economic failure, Biden, hurts us and she saves us.",0,2024-06-12
85,1801008408847429636,@RogerJStoneJr @OwenShroyer1776 Or mug club,0,2024-06-12
86,1801003028306174312,"So I never got to mention how two prominent years long investigations of the ""Biden Crime Family"", the House Biden Impeachment Investigation and Trump's special prosecutor for Hunter Biden, failed to turn up even a hint of evidence for the supposed major crimes.",1,2024-06-12
87,1801007793782116648,@SecretaryPete This is the Biden administration in a nutshell. They will take a baseball to your head but give you a discount on the MRI and cat scan you are going to need after.,0,2024-06-12
88,1801348251813085283,BIDEN AND ZELENSKY (BLINKEN) trying to drag America into their 💩! https://t.co/qJqXE1xfKZ,0,2024-06-13
89,1801014725200822291,"🧵Great article by @JillDLawrence A must rd as Jill points out that Biden is the candidate of strength w/the backbone to protect our rights, our democracy, rule of law, world order &amp; devotes the time to love his family!  My President &amp; will be again if we all work to make it so.",8,2024-06-12
90,1801036446561710417,@Cobratate @Magatron_2024 is built different! #magatron #MAGA #memecoins #Solana #altcoins #Crypto,5,2024-06-12
91,1801036136975892755,"In 2019 Donald #Trump just about had America back on track. Even again enormous opposition from the libtard gaggle of retards and degenerates. 
https://t.co/3pdVDnhSPO",0,2024-06-12
92,1801348348169044048,"""Republican critics had to either swallow their criticisms of his crookedness (the Journal itself spiked a second editorial on Trump’s mob ties after he won the nomination) or leave the party,"" writes Chait.",1,2024-06-13
93,1801040022529024495,@valdemings Is there more than one president biden?,0,2024-06-12
94,1801016164170289320,"Hunter Biden Convicted On Felony Gun Charges--He faces up to 25 years in prison and a fine of up to $750,000.
https://t.co/1ezYQqLKYC",0,2024-06-12
95,1801026020369174940,@harryjsisson 😎 Biden just got there &amp; he has already said he won't be attending their dinner! He does this on every trip! Everybody at that dinner will talking about Biden &amp; his weak &amp; confused status! What a embarrassment &amp; security risk! Biden has no respect from world leaders! NONE! FJB🖕,1,2024-06-12
96,1801038023489986862,@RyanGirdusky pretend MAGA for sure,0,2024-06-12
97,1801007399479763130,UNTIL THEN WRITE HIM A SONG PLEASE GET IN THAT BOOTH 😂AND HAPPY EARLY BUT YO YOU ALLS SON!!!! 💙🎉🎉🙏🏿🙏🏿,0,2024-06-12
98,1801018639921136096,@ZiggystarZiggy @POTUSalyingliar @NatashaForTrump @2457klhu @Karlton111 @JCDeardeuff @twitburd1 @KsLiberal @VIEWontheRIGHT @Missy8008135 @WhiteRonin22 @denisewbrady @FriendsOfJoe33 @Sinner_Lilith @FiestyKiwi @memequeenkimmy @FireBidenNow @RealDoctorT @TeekeeMon @ImUnFayzed @itisjustmebabe @tHeBohem7 @backtobacktoday @Jeff23645831 @comboverwhelmed @RushvlleRocket @whagyjr @_Kel_Varnsen_ @cbeckj @MistressRedWasp @Caperloo5 @skeeduu @NotSoSilentBob1 @laneisrad @IamJesusLickme @AntWindmill @PlatoonOps @Sasquatch4eva @HeartlessCreat5 @giddy_bunny @Berlinstweets @OriginalGoalie @VinceGottalotta @AggressiveDem @Booda_the_Great @Republicrat14 @JohnOz1900 @DeplorableNew @airdata8 @Tazerface16 Trump will win the election. #Trump2024.,2,2024-06-12
99,1801027188122112192,@In2ThinAir @jonesch40 Here is one of many from 6-10 to 6-12 https://t.co/goPLqOxBSV,0,2024-06-12
100,1801014400477810783,"@swamphunt3 @murfmaxd @ninoboxer And what good is all of that now? Biden reversed everything Trump did on day 1. If Trump built a fortified wall, Biden wouldn't be able to reverse that.",0,2024-06-12
101,1801032166651863325,"@JoeBiden is an illegitimate POS!! He knows it, he knows we know it &amp; the media knows it!! Now all the American people know it @MSNBC @Morning_Joe @CNN @ABC @FoxNews @maddow @morningmika",0,2024-06-12
102,1801017752758497430,@harryjsisson So you suspect Trump would do what Biden is already doing?,0,2024-06-12
103,1801014829114601683,@Coakley2Bob And Ashley Biden's diary is confirmed as 100% true that Old Man Joe DID do inappropriate things to her in the shower when she was still a kid. #Bidenexposed.,0,2024-06-12
104,1801008015677468990,@RVAExile Point taken but IMO the core things that doomed Jeb don’t really apply here. The biggest problem for him is that the GOP base was way more conservative and anti-establishment than he thought. I don’t think the equivalent is true of Dems.,2,2024-06-12
105,1801005682797269190,"@POTUS Over 18M new businesses? Impressive, but let's not forget that Joe Biden is still working hard to destroy America with his socialist policies! #MAGA",0,2024-06-12
106,1801008801765622101,"To her credit, @AOC has pissed off Conservatives like @KyleKulinski and @hasanthehun who oppose aid to Ukraine. They also would rather have Donald Trump win than continue to try to push both Congress and Joe Biden to the Left on both Israel-Palestine, &amp; other Progressive causes.",1,2024-06-12
107,1801015736028078107,"@ComradeIzzy Not I, personally being in the most pro Trump family ever, I see the evils of MAGA and MAGA communism is just fascism",6,2024-06-12
108,1801025089942495714,@SpeakerJohnson The only contemtable party in all this BS is the GOP.,0,2024-06-12
109,1801015970154135821,@JoeBiden Everyone is sick and tired of your crap about billionaires pay their share it's the middle class that are paying everyone share right now because of you you will be paying as well prison soon for Joe Biden,0,2024-06-12
110,1801034670928199741,Guess How Much Terror Watchlist Encounters Shot Up After Biden Said 'Surge to the Border' https://t.co/mnXDf2n07H,0,2024-06-12
