row_id,text,hashtags,post_type,like_count,date
155,Donald Trump accepts lunch invitation with President Biden. https://t.co/6l0BBDAmfH,[],tweet,208610,2024-11-08
156,"Trump has been dragging his leg for a while now and frankly this video is shocking.

Donald Trump is 78 and would be 82 and the end of his term. Voters deserve to know if anything has happened to him. https://t.co/bkoBqjv6mh",[],tweet,4069,2024-10-31
157,"MAGA loves him so much that they voted for four more years of carnage! I'll say it again ""MAGA are the dumbest Mofo'ers on the fucking planet""! Who else agrees with me? ✋️ https://t.co/ZFQadPWXvW",[],tweet,2220,2024-11-10
158,"Last week, American voters rejected socialism and communism. 

The Biden-Harris administration has been inching us towards socialism, which leads to communism. We the People say, “no more.” 

Radical leftists need to get outside their bubble and understand that THIS 👇 is https://t.co/f6YW3CHviT",[],tweet,822,2024-11-10
159,"HOLY SH*T 🚨 Illegal Immigrants have taken over the Streets of New York to protest Deportations

This make it VERY easy for Donald Trump to know who to Deport. Please keep track of these people 

MASS DEPORT EVERY ILLEGAL IMMIGRANT 🔥

 https://t.co/oMUBwxq2Y9",[],tweet,24313,2024-11-09
160,"After Biden's speech today, I think Trump was right about him hating Kamala
https://t.co/reYZhXX461",[],tweet,2698,2024-11-08
161,"Mr. President - I was proud to work with you too. As you said, when we were together last week, you and I built the plan that made the world safer &amp; led to no new wars. 

America firmly rejected the Biden-Harris foreign policy agenda. We have a duty to put America First again. https://t.co/9Ac0rRyF7F",[],tweet,18927,2024-11-10
162,"Donald Trump ""You Have To Withstand Pressure"" https://t.co/DShX3SaCFR",[],tweet,4256,2024-11-06
163,That's the President America won back this week! 🇺🇸 https://t.co/BIRR0YMCYy,[],tweet,341,2024-11-10
164,Healthy systems stand the test of time - healthy democracy stood the test of time: Some celebrated; others were shellshocked. What should make everyone proud: the US elections showed that America is built on a governance for the will of the people. No matter how contentious the https://t.co/NtKCWtK7dk,[],tweet,5,2024-11-08
165,"This is crazy! 🤔 

Joe Rogan Nov 8 : Elon created an app and he knew four hours before the results.

Donald Trump Oct 27: I think with our (he and Mike Johnson) little secret we are gonna do really well with the House.

Donald Trump July 26 : You don't have to vote again. https://t.co/QBogSRPoDi",[],tweet,7845,2024-11-10
166,GET OUT AND VOTE—STILL TIME LEFT! https://t.co/czQRkZmYUH https://t.co/ZuF4Txvujp,[],tweet,233640,2024-11-06
