row_id,text,like_count,date
60,"@POTUS When will Joe Biden show any care about the six Christians who were murdęred during The Covenant School shooțing at the hands of a trans terrórist?

We’re still waiting.

All lives matter.",513,2024-06-12
61,"Safely touched down in Detroit, Michigan. Ate at the downtown Applebees and reminded the servers who wants to remove taxes from tips. https://t.co/pES6TC6kHO",1330,2024-06-12
62,ACLU has followed through on their promised suit against Biden’s revived Trump-era border policy:,392,2024-06-12
63,How tf does Hunter Biden have a net worth of $230 MILLION!? 🤔 https://t.co/CCIaUxORI0,118,2024-06-12
64,"My feed has become such a disgusting MAGA SWAMP that I might have to jump ship. It's not reflective of the future of our country, simply how sick we are.",874,2024-06-12
65,"Ok, so i recognize my mind is twisted as fuck. The image haunting me is of a few hundreds of MAGA people 'parading' (like the fed bois)  in Biden masks! 

What the fuck would the msm do?",765,2024-06-12
66,Hunter Biden's conviction puts a final nail in the coffin of Donald Trump's absurd claim that he's being politically persecuted. It also defeats and debunks Jim Jordan's incessant yammering about the DOJ being weaponized against Republicans. https://t.co/R0iV4BSCpn,3278,2024-06-12
67,"So is Zelenskyy a puppet of Biden, or Biden a puppet of Zelenskyy? Figure it out, Ben.",6966,2024-06-12
68,@BigGeuce @NICKMERCS I enjoy laughing at clowns like you.,3265,2024-06-12
69,Joe Biden Is Leading The Biggest US Small Business Boom In 25 Years https://t.co/AScCvi6ZwU,301,2024-06-12
70,"Joe Biden is the 46th President of the USA. 

Despite all the problems he inherited from Trump, and there were many, he has exceeded all expectations in the last 3+ years.

Please share the graphic if you think our 46th President deserves 4 more years!

Follow us.
#DemsUnited https://t.co/BOtPgDxKaF",215,2024-06-12
71,"There are so many issues I have with Biden.

But I am going to vote for him.

Because Donald Trump will make every single one of them worse.",222,2024-06-12
72,"*Two lies MAGA has been posting:
*Likes are private now, but feel free to like this. 

1. Former Speaker Nancy Pelosi did NOT admit she was responsible for not calling the National Guard during the #J6 insurrection…she didn’t have the authority.
2. The Hunter laptop has NOT been https://t.co/Epwbl7qpUU",153,2024-06-12
73,"How does it feel to have Russian submarines and war ships 90 miles off the coast of Florida? In Cuba!

The Biden administration has been funding the war between Russia and Ukraine and it seems to me that Putin has had enough.

Putin is making his move to show the US that this war https://t.co/4MbKL0di1Y",272,2024-06-12
74,@nypost Protecting from who? White evangelical maga voters? Just curious,336,2024-06-13
75,"Update: White house source told us: ""If the tapes are real, the President will definitely release the tapes before the Election to show the American people more about the character of Donald Trump.""",485,2024-06-13
76,"Do NOT laugh at this!
https://t.co/HplRr4za7u",127,2024-06-12
77,"🚨 BREAKING: Manhattan DA Alvin Bragg and Joe Biden’s campaign committee are facing allegations of collusion to influence the 2024 Presidential election, according to a new Federal Election Commission (FEC) complaint filed by America First Legal.
https://t.co/8frvSnr7jL",1550,2024-06-12
